rank,name,year,certification,duration,rating,review_count,director,writer,genre,stars
23,Cats,2019,PG,1.5,2.8,55,['Tom Hooper'],"['Writers', 'Lee Hall', 'Tom Hooper', 'Andrew Lloyd Webber', '']","['Comedy', 'Drama', 'Family']","['James Corden', 'Judi Dench', 'Jason Derulo']"
24,Daniel the Wizard,2004,Not Rated,1.21,1.2,15,['Ulli Lommel'],['Ulli Lommel'],"['Comedy', 'Crime', 'Fantasy']","['Daniel Küblböck', 'Ulli Lommel', 'Rudolf Waldemar Brem']"
25,Baby Geniuses,1999,PG,1.37,2.6,27,['Bob Clark'],"['Writers', 'Steven Paul', 'Francisca Matos', 'Robert Grasmere', '']","['Comedy', 'Crime', 'Family']","['Kathleen Turner', 'Christopher Lloyd', 'Kim Cattrall']"
26,Glitter,2001,PG-13,1.44,2.4,24,['Vondie Curtis-Hall'],"['Cheryl L. West', 'Kate Lanier']","['Drama', 'Music', 'Romance']","['Mariah Carey', 'Eric Benét', 'Max Beesley']"
27,The Human Centipede III (Final Sequence),2015,Not Rated,1.42,2.7,19,['Tom Six'],['Tom Six'],"['Comedy', 'Horror']","['Dieter Laser', 'Laurence R. Harvey', 'Eric Roberts']"
28,Cosmic Sin,2021,R,1.28,2.5,15,['Edward Drake'],"['Edward Drake', 'Corey Large']","['Action', 'Sci-Fi']","['Frank Grillo', 'Bruce Willis', 'Brandon Thomas Lee']"
29,Jaws: The Revenge,1987,PG-13,1.29,3.0,49,['Joseph Sargent'],"['Writers', 'Peter Benchley', 'Michael De Guzman', '']","['Adventure', 'Horror', 'Thriller']","['Lorraine Gary', 'Lance Guest', 'Mario Van Peebles']"
30,Troll 2,1990,PG-13,1.35,2.9,34,['Claudio Fragasso'],"['Writers', 'Rossella Drudi', 'Claudio Fragasso', '']","['Comedy', 'Fantasy', 'Horror']","['Michael Paul Stephenson', 'George Hardy', 'Margo Prey']"
31,BloodRayne,2005,R,1.35,3.0,37,['Uwe Boll'],['Guinevere Turner'],"['Action', 'Fantasy', 'Horror']","['Kristanna Loken', 'Ben Kingsley', 'Michelle Rodriguez']"
32,Mega Shark vs. Giant Octopus,2009,R,1.28,2.5,11,['Jack Perez'],['Jack Perez'],"['Action', 'Adventure', 'Comedy']","['Lorenzo Lamas', 'Debbie Gibson', 'Vic Chao']"
33,365 Days: This Day,2022,TV-MA,1.51,2.6,23,"['Barbara Bialowas', 'Tomasz Mandes']","['Writers', 'Mojca Tirs', 'Blanka Lipinska', 'Tomasz Mandes', '']","['Drama', 'Romance']","['Anna-Maria Sieklucka', 'Michele Morrone', 'Simone Susinna']"
34,Jeepers Creepers: Reborn,2022,R,1.28,2.5,13,['Timo Vuorensola'],"['Jake Seal', 'Sean-Michael Argo']","['Horror', 'Mystery', 'Thriller']","['Gary Graham', 'Dee Wallace', 'Timo Vuorensola']"
35,Hobgoblins,1988,Not Rated,1.28,2.2,12,['Rick Sloane'],['Rick Sloane'],"['Comedy', 'Horror', 'Sci-Fi']","['Tom Bartlett', 'Paige Sullivan', 'Steven Boggs']"
